time,tx,ty,qlat,qsens,lw,sw,precip,,,
247.75,0,0,38.26884115,22.22317045,95.04600086,-494.4229028,-1.54E+00,,,
248,0,0,21.88323439,10.31573146,108.24444,-131.8352127,-1.54E+00,,,
248.25,0,0,28.20664242,14.38405971,100.9959432,-2.80E-05,-1.54E+00,,,
248.5,0,0,46.90114971,18.33612145,102.1587053,-164.8062113,-1.54E+00,,,
248.75,0,0,48.60198092,26.4610553,76.87081325,-413.0477318,-1.54E+00,,,
249,0,0,48.38117169,25.95632672,78.34862137,-109.4927513,7.67E+03,,,
249.25,0,0,36.0474352,17.33086616,44.56027836,-2.80E-05,3.40E+05,,,
249.5,0,0,14.34103524,3.174982515,28.67706969,-64.33877153,8.58E+05,,,
249.75,0,0,0.599206011,-3.513592305,21.10186302,-151.9160899,1.26E+06,,,
250,0,0,-2.990133987,-6.432981501,27.53037471,-49.13270287,1.05E+05,,,
250.25,0,0,-3.902457119,-7.302580692,25.80269972,-2.80E-05,8.19E+04,,,
250.5,0,0,1.372127247,-8.835352011,19.02699894,-65.45226056,1.13E+05,,,
250.75,0,0,5.283434459,-3.678841485,30.92028466,-250.5991245,1.81E+05,,,
251,0,0,11.57712802,-1.628594708,39.85806257,-66.41870079,-1.54E+00,,,
251.25,0,0,14.54141267,3.123975546,44.36809006,-2.80E-05,2.66E+04,,,
251.5,0,0,18.97703032,4.766038424,55.57689926,-127.0587395,-1.54E+00,,,
251.75,0,0,19.60644773,6.300359729,74.47314199,-458.9209641,-1.54E+00,,,
252,0,0,15.21487103,3.027474403,79.87302986,-121.9274906,-1.54E+00,,,
252.25,0,0,9.200533652,0.995244661,72.43324649,-2.80E-05,1.36E+04,,,
252.5,0,0,3.757104399,-2.594809948,82.86215936,-193.3183795,3.31E+03,,,
252.75,0,0,-0.51252205,-5.041081585,68.81080748,-514.5433843,-1.54E+00,,,
253,0,0,-1.170378273,-6.04594835,77.66786285,-134.7734678,1.36E+04,,,
253.25,0,0,1.145269236,-2.540646081,77.99211642,-2.80E-05,1.62E+04,,,
253.5,0,0,4.237692359,1.768412034,75.37073148,-197.1483568,7.46E+03,,,
253.75,0,0,4.563131797,4.699415884,74.91743685,-550.4232728,3.70E+04,,,
254,0,0,6.934073168,0.192057177,39.25704875,-112.3130736,-1.54E+00,,,
254.25,0,0,6.624759561,6.120590741,27.43176737,-2.80E-05,1.17E+05,,,
254.5,0,0,15.20207885,5.92197332,31.70490903,-79.26102954,2.48E+05,,,
254.75,0,0,39.22352278,22.55449714,71.79605742,-455.0724182,7.82E+05,,,
255,0,0,57.92310078,33.32861569,89.77613203,-128.9494484,1.42E+05,,,
255.25,0,0,69.17226054,46.71700178,103.4559129,-2.80E-05,3.63E+05,,,
255.5,0,0,61.63284463,44.28161707,107.2606154,-214.3124131,1.26E+05,,,
255.75,0,0,68.5055192,45.21348394,110.0961904,-627.7195589,4.50E+04,,,
256,0,0,58.1867735,30.28970568,97.82357235,-148.3616236,-1.54E+00,,,
256.25,0,0,63.92938443,49.05879976,70.63502556,-2.80E-05,7.76E+04,,,
256.5,0,0,77.77868661,50.24709069,104.5190047,-210.5076021,2.56E+04,,,
256.75,0,0,56.89460693,32.99396855,76.73321755,-515.6752317,5.37E+04,,,
257,0,0,46.58679917,19.95508006,69.9113617,-121.0164892,5.96E+03,,,
257.25,0,0,62.93022073,27.30726504,38.97013488,-2.80E-05,5.36E+04,,,
257.5,0,0,76.33327219,39.7860889,38.84521308,-142.8314625,5.36E+04,,,
257.75,0,0,59.7292528,36.14037646,44.72293218,-375.0523311,3.58E+04,,,
258,0,0,58.41567324,25.00453489,39.4762829,-96.38080811,1.19E+04,,,
258.25,0,0,28.25330717,9.397490008,34.20622955,-2.80E-05,1.97E+04,,,
258.5,0,0,18.4331439,4.452772173,38.76288053,-116.2304159,5.77E+04,,,
258.75,0,0,9.826122823,-0.155721497,73.04550006,-511.8452769,3.97E+04,,,
259,0,0,12.80892038,-0.485650764,57.58653125,-114.8525504,3.31E+04,,,
259.25,0,0,15.98488809,2.393036219,58.95496083,-2.80E-05,2.39E+05,,,
259.5,0,0,20.92747635,6.013946403,59.45345597,-172.8524959,3.31E+04,,,
259.75,0,0,20.46580335,7.448351033,64.87353012,-449.8168914,1.15E+05,,,
260,0,0,31.33432852,9.007685613,58.23161292,-108.7643592,-1.54E+00,,,
260.25,0,0,33.08961419,9.251899638,58.24198284,-2.80E-05,6.37E+04,,,
260.5,0,0,32.40932231,10.14094265,67.69960467,-184.5180568,-1.54E+00,,,
260.75,0,0,27.20042072,10.26583351,64.27296381,-421.1932306,1.79E+04,,,
261,0,0,32.89844628,14.54130931,60.45229348,-128.2526691,-1.54E+00,,,
261.25,0,0,34.48191657,19.56693798,74.55568219,-2.80E-05,1.10E+05,,,
261.5,0,0,36.66356173,19.94168384,55.52834309,-149.3822022,-1.54E+00,,,
261.75,0,0,21.89474776,12.40507104,42.93960172,-346.3655201,-1.54E+00,,,
262,0,0,24.71423721,11.49705573,41.62239225,-107.9144795,-1.54E+00,,,
262.25,0,0,30.02001704,17.67622283,38.08600378,-2.80E-05,-1.54E+00,,,
262.5,0,0,40.42891489,26.38771962,42.45287887,-126.1312575,2.98E+04,,,
262.75,0,0,41.41190341,21.62382199,34.54196243,-324.5222177,9.46E+05,,,
263,0,0,17.09271169,-1.251146945,20.16772714,-68.33676296,4.92E+06,,,
263.25,0,0,19.79662191,6.543481974,22.58251976,-2.80E-05,4.18E+06,,,
263.5,0,0,96.14219864,50.84729753,57.01167062,-178.7755536,2.65E+05,,,
263.75,0,0,104.4874484,67.63318609,91.25480969,-523.2903049,5.25E+05,,,
264,0,0,68.72424333,41.49458784,83.65893926,-136.9688647,6.29E+05,,,
264.25,0,0,39.83188111,28.37412794,65.65276442,-2.80E-05,1.10E+06,,,
264.5,0,0,29.84612507,17.86206669,58.3363483,-144.7552284,7.33E+05,,,
264.75,0,0,44.85842639,28.39342684,67.5573218,-437.3788107,7.05E+05,,,
265,0,0,39.43828772,21.97650978,65.90891416,-116.0762639,1.05E+06,,,
265.25,0,0,26.99707917,15.15185881,54.23580836,-2.80E-05,1.17E+06,,,
265.5,0,0,27.52294547,17.67862592,63.66991781,-180.2565724,5.23E+05,,,
265.75,0,0,41.39244956,20.78717627,69.59318321,-450.8866223,5.60E+05,,,
266,0,0,35.95387187,9.645150468,72.82484264,-125.7071493,2.06E+05,,,
266.25,0,0,38.76855422,12.11022711,77.58368294,-2.80E-05,2.83E+04,,,
266.5,0,0,26.85601094,7.037648918,87.02827061,-211.0776209,-1.54E+00,,,
266.75,0,0,20.01184123,1.855365623,71.69472408,-532.8343573,-1.54E+00,,,
267,0,0,28.39911948,6.247463281,63.89553418,-133.8647379,-1.54E+00,,,
267.25,0,0,19.37019644,8.655817242,54.99126966,-2.80E-05,3.74E+04,,,
267.5,0,0,30.5643711,11.17000349,61.11001712,-178.990609,6.29E+04,,,
267.75,0,0,35.30690283,12.37330143,82.09666719,-554.8669141,8.37E+03,,,
268,0,0,43.00865977,7.329179985,72.97195305,-129.328426,-1.54E+00,,,
268.25,0,0,45.96559751,10.73623642,93.16833701,-2.80E-05,-1.54E+00,,,
268.5,0,0,46.22352284,13.67279219,84.928524,-210.5528644,-1.54E+00,,,
268.75,0,0,33.83714601,12.20435056,98.98602719,-611.2796236,-1.54E+00,,,
269,0,0,30.52115273,7.309240638,98.20889444,-183.784971,-1.54E+00,,,
269.25,0,0,21.04997973,5.379983589,97.92970982,-2.80E-05,-1.54E+00,,,
269.5,0,0,15.4750222,6.430100289,86.80879882,-245.5428342,-1.54E+00,,,
269.75,0,0,27.886741,8.085464744,73.95187495,-538.5683853,-1.54E+00,,,
270,0,0,26.20131455,7.241132244,69.30581525,-136.095212,-1.54E+00,,,
270.25,0,0,19.34153449,5.522628373,61.80096104,-2.80E-05,-1.54E+00,,,
270.5,0,0,20.26717859,4.994419945,63.62869856,-198.5647061,-1.54E+00,,,
270.75,0,0,16.72875054,5.338451244,58.89785897,-513.0594413,-1.54E+00,,,
271,0,0,22.61027133,7.693128373,61.34753485,-155.0585342,-1.54E+00,,,
271.25,0,0,28.63472273,4.276175413,60.07581857,-2.80E-05,-1.54E+00,,,
271.5,0,0,33.7609467,8.227594705,45.49523067,-162.7208156,-1.54E+00,,,
271.75,0,0,22.37418925,0.717388902,39.15717283,-389.0032554,1.82E+04,,,
272,0,0,15.71743903,-5.835656908,30.30180369,-93.26182305,3.89E+04,,,
272.25,0,0,6.27691773,-9.162065573,29.33196784,-2.80E-05,1.20E+05,,,
272.5,0,0,2.183648093,-9.498728425,20.0948189,-119.4416075,2.05E+05,,,
272.75,0,0,-1.886399424,-8.088025752,18.01494275,-213.7705209,2.45E+05,,,
273,0,0,-2.236098251,-6.501592533,30.50195861,-86.95741674,8.04E+04,,,
273.25,0,0,-3.480599661,-6.398978103,36.93440503,-2.80E-05,6.11E+04,,,
273.5,0,0,-1.419514646,-5.439282626,39.60054282,-168.4220747,5.96E+03,,,
273.75,0,0,-1.15576986,-1.97129979,18.86373621,-234.2403101,2.09E+04,,,
274,0,0,0.959528012,-1.009879927,31.11519001,-91.99963701,-1.54E+00,,,
274.25,0,0,2.297288038,0.046671047,42.20554466,-2.80E-05,3.58E+04,,,
274.5,0,0,4.667742436,1.691441364,41.26462543,-155.2277085,-1.54E+00,,,
274.75,0,0,6.039089069,4.123121432,34.98457119,-287.3115628,2.03E+05,,,
275,0,0,1.713016698,0.05493838,32.52460148,-94.45805232,-1.54E+00,,,
275.25,0,0,-0.403451311,-1.176941432,29.51510104,-2.80E-05,5.85E+04,,,
275.5,0,0,-0.594985862,-4.268320898,16.61790369,-70.05653891,2.13E+05,,,
275.75,0,0,5.708959179,-6.203479175,23.36655847,-187.4407085,8.20E+05,,,
276,0,0,7.016115886,-7.2314512,37.36703589,-99.00752105,1.65E+03,,,
276.25,0,0,13.35870767,-2.215355602,58.74177191,-2.80E-05,3.83E+04,,,
276.5,0,0,16.73683293,3.74645708,66.81130792,-224.0260529,-1.54E+00,,,
276.75,0,0,8.53316883,2.864642349,55.95691659,-496.3199222,-1.54E+00,,,
277,0,0,16.9466473,6.140467225,51.74261822,-150.918468,-1.54E+00,,,
277.25,0,0,25.86725017,9.90247478,42.96477708,-2.80E-05,-1.54E+00,,,
277.5,0,0,19.9674489,8.353884824,63.09247155,-243.9439077,1.23E+05,,,
277.75,0,0,16.67054891,8.534730652,70.62582694,-527.4170097,2.08E+05,,,
278,0,0,10.38923209,2.775427399,61.87521632,-169.4937301,-1.54E+00,,,
278.25,0,0,8.536782847,2.904865861,62.97623358,-2.80E-05,4.24E+04,,,
278.5,0,0,8.523875834,2.347949292,67.32067361,-243.7750241,-1.54E+00,,,
278.75,0,0,11.69688261,4.704630709,51.44973771,-463.8700641,-1.54E+00,,,
279,0,0,17.48629174,4.241068315,67.19672965,-181.1350618,-1.54E+00,,,
279.25,0,0,23.17170984,6.784899369,38.7016594,-2.80E-05,1.65E+03,,,
279.5,0,0,18.44399652,5.967743171,27.78800276,-171.597956,1.65E+03,,,
279.75,0,0,17.67033064,3.05777785,37.72794414,-446.1982039,-1.54E+00,,,
280,0,0,17.53182762,2.336615335,36.12872471,-102.3691906,-1.54E+00,,,
280.25,0,0,12.96316985,1.847807657,37.83632144,-2.80E-05,1.98E+04,,,
280.5,0,0,8.834870349,1.526282315,45.79499402,-172.0326674,4.08E+04,,,
280.75,0,0,10.10233982,2.778919284,77.68121281,-638.0487523,-1.54E+00,,,
281,0,0,13.10195329,2.793377543,51.24797278,-165.2611391,-1.54E+00,,,
281.25,0,0,12.13948769,2.839778621,57.38350446,-2.80E-05,-1.54E+00,,,
281.5,0,0,18.88796776,-0.033173877,44.14735656,-193.5209312,-1.54E+00,,,
281.75,0,0,46.68864049,-5.459579298,59.2220363,-549.319575,-1.54E+00,,,
282,0,0,64.3818617,-9.615630424,93.90846928,-201.9701917,-1.54E+00,,,
282.25,0,0,54.43124261,2.680713622,109.4120297,-2.80E-05,-1.54E+00,,,
282.5,0,0,44.29973685,8.305972884,91.95095035,-274.6530274,-1.54E+00,,,
282.75,0,0,32.48876573,11.96424466,61.87922729,-502.372737,-1.54E+00,,,
283,0,0,28.48759669,4.445258165,74.65200331,-175.3763296,2.63E+04,,,
283.25,0,0,39.021862,9.287853313,85.28307329,-2.80E-05,1.48E+05,,,
283.5,0,0,31.71275617,6.426190766,95.02241225,-288.276977,-1.54E+00,,,
283.75,0,0,19.80740455,7.64297655,91.84466028,-669.7871417,-1.54E+00,,,
284,0,0,11.95216299,6.958022983,72.0662102,-159.3825184,-1.54E+00,,,
284.25,0,0,16.40521068,7.534973769,71.26628886,-2.80E-05,-1.54E+00,,,
284.5,0,0,38.69279486,13.76568003,59.56154045,-207.2969368,-1.54E+00,,,
284.75,0,0,46.63010072,27.33312014,31.74762999,-359.2435094,3.53E+04,,,
285,0,0,43.55185184,20.25907105,34.50744809,-117.8303087,9.78E+03,,,
285.25,0,0,30.31364001,19.51287399,68.29040997,-0.322911371,2.29E+05,,,
285.5,0,0,24.80088014,13.05181166,80.30900981,-243.080461,-1.54E+00,,,
285.75,0,0,25.37843463,10.45443993,81.92107887,-575.1145265,-1.54E+00,,,
286,0,0,31.06381334,8.912741922,58.99886727,-162.7986578,2.20E+05,,,
286.25,0,0,16.30093286,2.332531085,25.28697507,-0.322911371,2.43E+06,,,
286.5,0,0,15.06066684,1.057478056,17.97810354,-96.66949283,2.35E+06,,,
286.75,0,0,12.08311652,2.02006424,19.89804292,-197.0750789,3.34E+06,,,
287,0,0,19.68808261,2.509682889,24.33402307,-85.31942555,2.74E+06,,,
287.25,0,0,23.39200594,3.420771708,25.03697678,-0.322911371,1.80E+06,,,
287.5,0,0,18.36649561,-2.752761009,24.05618535,-131.0151491,6.00E+05,,,
287.75,0,0,23.61753776,-0.236128449,31.17406314,-247.6490524,7.33E+05,,,
288,0,0,14.66308824,-1.65437544,30.1914242,-71.1194614,7.81E+05,,,
288.25,0,0,20.83273054,-9.107237214,25.19406494,-0.322911371,5.54E+05,,,
288.5,0,0,28.59392222,-7.868314899,28.37448099,-121.5556675,3.66E+05,,,
288.75,0,0,35.82377559,-6.165909071,35.93234985,-383.8790114,2.34E+05,,,
289,0,0,24.91144123,-5.561552123,45.70285408,-130.9621454,7.91E+04,,,
289.25,0,0,20.08456853,0.046692009,55.61965229,-0.782881054,1.59E+05,,,
